X,President,Days
1,Washington,2864
2,Adams,1460
3,Jefferson,2921
4,Madison,2921
5,Monroe,2921
6,Adams,1460
7,Jackson,2921
8,Van Buren,1460
9,Harrison,31
10,Tyler,1427
11,Polk,1460
12,Taylor,491
13,Filmore,967
14,Pierce,1460
15,Buchanan,1460
16,Lincoln,1503
17,Johnson,1418
18,Grant,2921
19,Hayes,1460
20,Garfield,199
21,Arthur,1260
22,Cleveland,1460
23,Harrison,1460
24,Cleveland,1460
25,McKinley,1655
26,Roosevelt,2727
27,Taft,1460
28,Wilson,2921
29,Harding,881
30,Coolidge,2039
31,Hoover,1460
32,Roosevelt,4452
33,Truman,2810
34,Eisenhower,2922
35,Kennedy,1036
36,Johnson,1886
37,Nixon,2027
38,Ford,895
39,Carter,1461
40,Reagan,2922
41,Bush,1461
42,Clinton,2922
43,Bush,1110